date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2020-12-20,0.0005327508567104632,0.0008183748839309213,0.0
2020-12-21,0.0005882176413688037,0.0009035791081663794,0.0
2020-12-22,0.0005882176413688037,0.0009035791081663794,0.0
2020-12-23,0.00096551322946733,0.0014831543997469775,0.0
2020-12-24,0.00096551322946733,0.0014831543997469775,0.0
2020-12-25,0.00096551322946733,0.0014831543997469775,0.0
2020-12-26,0.0018625753759318746,0.0028611589974772214,0.0
2020-12-27,0.0018625753759318746,0.0028611589974772214,0.0
2020-12-28,0.002037434297233526,0.0031297651341395155,0.0
2020-12-29,0.002037434297233526,0.0031297651341395155,0.0
2020-12-30,0.0026767309192833977,0.004111808226661151,0.0
2020-12-31,0.0026767309192833977,0.004111808226661151,0.0
2021-01-01,0.0026767309192833977,0.004111808226661151,0.0
2021-01-02,0.004047541799559482,0.006217552742895453,0.0
2021-01-03,0.004047541799559482,0.006217552742895453,0.0
2021-01-04,0.004370812132138676,0.006714138187236817,0.0
2021-01-05,0.004632498998942118,0.007116123386413893,0.0
2021-01-06,0.005082991701195445,0.00780813900361009,0.0
2021-01-07,0.005669776433865275,0.008709516976901817,0.0
2021-01-08,0.006406166029844012,0.00984070755603693,0.0
2021-01-09,0.006406166029844012,0.00984070755603693,0.0
2021-01-10,0.006406166029844012,0.00984070755603693,0.0
2021-01-11,0.00860829670740585,0.013223467836852068,0.0
2021-01-12,0.008933781535247095,0.013723455035090622,0.0
2021-01-13,0.009844985034673973,0.013723455035090622,0.0
2021-01-14,0.010678800928262887,0.014258464702193717,0.0035156972886564637
2021-01-15,0.011761326095097491,0.015590193970416813,0.004218891233584258
2021-01-16,0.011761326095097491,0.015590193970416813,0.004218891233584258
2021-01-17,0.011761326095097491,0.015590193970416813,0.004218891233584258
2021-01-18,0.011761326095097491,0.015590193970416813,0.004218891233584258
2021-01-19,0.015045146714637315,0.020004141799601357,0.0052997286026497704
2021-01-20,0.015828354878267017,0.020996768289952786,0.005662002969966579
2021-01-21,0.01680638498666362,0.022148562138907257,0.006273784164455909
2021-01-22,0.018302112747818094,0.023899223579226043,0.0072220499931102055
2021-01-23,0.019671834579169892,0.025587229185652986,0.007931724770929585
2021-01-24,0.020927224472178298,0.027223052005004782,0.008426748809876941
2021-01-25,0.02177546427759732,0.02832677989534619,0.0087661254567793
2021-01-26,0.022548191901799103,0.02928309354565322,0.009121159313945606
2021-01-27,0.023612950341723768,0.030439179313343893,0.009957150082885535
2021-01-28,0.025089007216547478,0.031926175399693626,0.011167402402372626
2021-01-29,0.02670867200189649,0.03363251398776373,0.012523903072508188
2021-01-30,0.028330503391174027,0.035406733162359295,0.013778169520630854
2021-01-31,0.029810725854187467,0.037079622151338254,0.014819317682283105
2021-02-01,0.030863476021144868,0.03828908396839241,0.015528450207714223
2021-02-02,0.031398381987863815,0.03890364053112599,0.015887188146411938
2021-02-03,0.03244949522904143,0.03995435873746741,0.016862034820398053
2021-02-04,0.033719052336332274,0.04105822346306506,0.0181433195831706
2021-02-05,0.0352664232380767,0.04253589709582803,0.01965694770621767
2021-02-06,0.0373916030787623,0.044509660329046824,0.021787491394193642
2021-02-07,0.03947293457230196,0.04646380903752365,0.023961753198631888
2021-02-08,0.040628724858984964,0.047583571665742036,0.024933170846645855
2021-02-09,0.041384041109971535,0.04835907003136932,0.025777759066495317
2021-02-10,0.042881871300667625,0.04970707533835138,0.02742569550934209
2021-02-11,0.04443383785477681,0.051090994750383825,0.029309873242674644
2021-02-12,0.046368923583140785,0.05272550071431262,0.03165975933149064
2021-02-13,0.048506147136380455,0.054522408057201724,0.034269753674606176
2021-02-14,0.05065404662568882,0.05634121051243689,0.03687693459228697
2021-02-15,0.05065404662568882,0.05634121051243689,0.03687693459228697
2021-02-16,0.05289153739044318,0.05836913990827297,0.03933408187090848
2021-02-17,0.05390823496152533,0.05924820784940938,0.04052887606796499
2021-02-18,0.05530277312408148,0.06035619087481595,0.0423385373209281
2021-02-19,0.05707214334453979,0.061763316369230103,0.044635277436540985
2021-02-20,0.05870471771775296,0.06298776238251652,0.0468790732863609
2021-02-21,0.06042989189998396,0.06419205535811702,0.04941915112588856
2021-02-22,0.06147089623848179,0.06494248050222094,0.050920629651946464
2021-02-23,0.062289463531477345,0.06554109943596907,0.05208385009037635
2021-02-24,0.0636618988857865,0.06655952746453032,0.05398230189744628
2021-02-25,0.06539477016314113,0.06779141113609974,0.056465283442024464
2021-02-26,0.06748278153988041,0.06942432216005251,0.059237429586267376
2021-02-27,0.06973570097664218,0.07126547290246087,0.06208037241188781
2021-02-28,0.0720630502504836,0.07323213982986386,0.06491290241990758
2021-03-01,0.07365685850486416,0.07464583488792462,0.06671120256848474
2021-03-02,0.07531544457696639,0.076150213465858,0.068533686649663
2021-03-03,0.0771438140468436,0.07776888920912076,0.07061803672114333
2021-03-04,0.07909047606834649,0.07950521237447064,0.07281370308724575
2021-03-05,0.08142301963622169,0.08172992852494927,0.07518499897687941
2021-03-06,0.08420476762947847,0.08439476129934528,0.07800093658573373
2021-03-07,0.08654131587066277,0.08662364724677228,0.08038664014751927
2021-03-08,0.08820611632220278,0.08828850709603803,0.08249843552466053
2021-03-09,0.08974126918693912,0.0898824112438799,0.08409381277949729
2021-03-10,0.09168440449064144,0.09188730229087419,0.08619497529459047
2021-03-11,0.09406230785614854,0.09427165515959825,0.08870706033691543
2021-03-12,0.09686310031709362,0.09705784315012157,0.09168560293367573
2021-03-13,0.10124563241637176,0.1013522720040368,0.09674038539228323
