ObservationDate,Confirmed,Deaths,Recovered
2020-01-22,2.9403692520086824e-09,0.0,0.0
2020-01-23,2.9403692520086824e-09,0.0,0.0
2020-01-24,5.880738504017365e-09,0.0,0.0
2020-01-25,5.880738504017365e-09,0.0,0.0
2020-01-26,1.4701846260043413e-08,0.0,0.0
2020-01-27,1.4701846260043413e-08,0.0,0.0
2020-01-28,1.4701846260043413e-08,0.0,0.0
2020-01-29,1.4701846260043413e-08,0.0,0.0
2020-01-30,1.4701846260043413e-08,0.0,0.0
2020-01-31,1.7642215512052095e-08,0.0,0.0
2020-02-01,2.352295401606946e-08,0.0,0.0
2020-02-02,2.352295401606946e-08,0.0,0.0
2020-02-03,3.234406177209551e-08,0.0,0.0
2020-02-04,3.234406177209551e-08,0.0,0.0
2020-02-05,3.528443102410419e-08,0.0,0.0
2020-02-06,3.528443102410419e-08,0.0,0.0
2020-02-07,3.528443102410419e-08,0.0,0.0
2020-02-08,3.528443102410419e-08,0.0,0.0
2020-02-09,3.528443102410419e-08,0.0,7.28241708620573e-08
2020-02-10,3.528443102410419e-08,0.0,7.28241708620573e-08
2020-02-11,3.822480027611287e-08,0.0,7.28241708620573e-08
2020-02-12,3.822480027611287e-08,0.0,7.28241708620573e-08
2020-02-13,4.410553878013024e-08,0.0,7.28241708620573e-08
2020-02-14,4.410553878013024e-08,0.0,7.28241708620573e-08
2020-02-15,4.410553878013024e-08,0.0,7.28241708620573e-08
2020-02-16,4.410553878013024e-08,0.0,7.28241708620573e-08
2020-02-17,4.410553878013024e-08,0.0,7.28241708620573e-08
2020-02-18,4.410553878013024e-08,0.0,7.28241708620573e-08
2020-02-19,4.410553878013024e-08,0.0,7.28241708620573e-08
2020-02-20,4.410553878013024e-08,0.0,7.28241708620573e-08
2020-02-21,1.0291292382030388e-07,0.0,1.2137361810342884e-07
2020-02-22,1.0291292382030388e-07,0.0,1.2137361810342884e-07
2020-02-23,1.0291292382030388e-07,0.0,1.2137361810342884e-07
2020-02-24,1.5583957035646018e-07,0.0,1.2137361810342884e-07
2020-02-25,1.5583957035646018e-07,0.0,1.456483417241146e-07
2020-02-26,1.7348178586851228e-07,0.0,1.456483417241146e-07
2020-02-27,1.7642215512052095e-07,0.0,1.456483417241146e-07
2020-02-28,1.8230289362453833e-07,0.0,1.6992306534480036e-07
2020-02-29,2.0582584764060777e-07,1.569210402520806e-07,1.6992306534480036e-07
2020-03-01,2.2346806315265986e-07,1.569210402520806e-07,1.6992306534480036e-07
2020-03-02,2.9697729445287695e-07,9.415262415124836e-07,1.6992306534480036e-07
2020-03-03,3.5872504874505925e-07,1.0984472817645642e-06,1.9419778896548614e-07
2020-03-04,4.4987649555732846e-07,1.7261314427728866e-06,1.9419778896548614e-07
2020-03-05,6.498216046939189e-07,1.8830524830249673e-06,1.9419778896548614e-07
2020-03-06,8.174226520584137e-07,2.1968945635291283e-06,1.9419778896548614e-07
2020-03-07,1.2261339780876207e-06,2.66765768428537e-06,1.9419778896548614e-07
2020-03-08,1.5789782883286626e-06,3.2953418452936927e-06,1.9419778896548614e-07
2020-03-09,1.778923397465253e-06,3.4522628855457733e-06,1.9419778896548614e-07
2020-03-10,2.8198141126763266e-06,4.393789127058257e-06,1.9419778896548614e-07
2020-03-11,3.7666130118231224e-06,5.649157449074902e-06,1.9419778896548614e-07
2020-03-12,4.889834066090439e-06,6.276841610083224e-06,2.912966834482292e-07
2020-03-13,6.40706460012692e-06,7.3752888918477885e-06,2.912966834482292e-07
2020-03-14,8.015446580975669e-06,8.473736173612352e-06,2.912966834482292e-07
2020-03-15,1.028835201277838e-05,9.886025535881078e-06,2.912966834482292e-07
2020-03-16,1.3619790375304218e-05,1.3338288421426851e-05,4.1267030155165804e-07
2020-03-17,1.8880110967147752e-05,1.6947472347224704e-05,4.1267030155165804e-07
2020-03-18,2.28937149961396e-05,1.851668274974551e-05,2.5731207037926913e-06
2020-03-19,4.022425136747878e-05,3.138420805041612e-05,2.6216701510340627e-06
2020-03-20,5.6163993082617846e-05,3.8288733821507665e-05,3.5683843722408077e-06
2020-03-21,7.502058109574953e-05,4.8174759357388746e-05,4.150977739137266e-06
2020-03-22,9.97314442896305e-05,6.841757354990715e-05,0.0
2020-03-23,0.00012865291625238789,9.070036126570258e-05,0.0
2020-03-24,0.0001584153338212198,0.00011266930690099388,8.447603819998647e-06
2020-03-25,0.0001939496962317447,0.00015017343552124114,8.763175227067562e-06
2020-03-26,0.0002469116271989251,0.00019222827430879873,1.6531086785687006e-05
2020-03-27,0.00029952659459436847,0.00025154442752408523,2.109473482637593e-05
2020-03-28,0.0003578194150154406,0.00032137429043626106,2.602250372137514e-05
2020-03-29,0.0004148802207199211,0.0003930872058314619,6.469213844912757e-05
2020-03-30,0.00047673088793592376,0.00047390154156128344,0.00013700654011515048
2020-03-31,0.0005540155533557199,0.0006129335832246269,0.00017050565871169684
2020-04-01,0.0006281305007218508,0.0007656177553899012,0.0002057040079616912
2020-04-02,0.0007169766980405452,0.0009506276618471043,0.00021849678730979257
2020-04-03,0.00081141547767656,0.0011375206207873323,0.00023563474218599674
